2022-09-30 09:17:05.382269 Start \(≧▽≦)/
2022-09-30 09:17:05.382348 Loading data from pkl...
2022-09-30 09:17:06.613260 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-30 09:17:37.864707 Step 22/27: loss = 3.148, loss_main = 3.147, loss_regu = 0.001
2022-09-30 09:17:38.056734 Step 23/27: loss = 3.108, loss_main = 3.107, loss_regu = 0.001
2022-09-30 09:17:38.247856 Step 24/27: loss = 3.138, loss_main = 3.137, loss_regu = 0.001
2022-09-30 09:17:38.434464 Step 25/27: loss = 3.184, loss_main = 3.183, loss_regu = 0.001
2022-09-30 09:17:38.612734 Step 26/27: loss = 3.179, loss_main = 3.178, loss_regu = 0.001
2022-09-30 09:17:38.706456 Step 27/27: loss = 3.211, loss_main = 3.210, loss_regu = 0.001
2022-09-30 09:17:38.740981 Train 4/100 {'loss': 3.280206812752618, 'loss_main': 3.27907575501336, 'precision': 0.0943019943019943}
2022-09-30 09:17:38.940096 Step 0/3: precision = 18.000
2022-09-30 09:17:39.118642 Step 1/3: precision = 14.000
2022-09-30 09:17:39.268618 Step 2/3: precision = 5.000
2022-09-30 09:17:39.283423 Step 3/3: precision = 1.000
2022-09-30 09:17:39.283670 Test 4/100 {'precision': 0.04871794871794872}
[1m2022-09-30 09:17:39.283695 Best Result: precision = 0.0487[0m
2022-09-30 09:17:39.442200 Step 0/27: loss = 3.131, loss_main = 3.130, loss_regu = 0.001
2022-09-30 09:17:39.621591 Step 1/27: loss = 3.188, loss_main = 3.187, loss_regu = 0.001
2022-09-30 09:17:39.801493 Step 2/27: loss = 3.115, loss_main = 3.114, loss_regu = 0.001
2022-09-30 09:17:39.972572 Step 3/27: loss = 3.125, loss_main = 3.124, loss_regu = 0.001
2022-09-30 09:17:40.170787 Step 4/27: loss = 3.146, loss_main = 3.145, loss_regu = 0.001
2022-09-30 09:17:40.365334 Step 5/27: loss = 3.106, loss_main = 3.105, loss_regu = 0.001
2022-09-30 09:17:40.540819 Step 6/27: loss = 3.121, loss_main = 3.120, loss_regu = 0.001
2022-09-30 09:17:40.716960 Step 7/27: loss = 3.120, loss_main = 3.119, loss_regu = 0.001
2022-09-30 09:17:40.884977 Step 8/27: loss = 3.172, loss_main = 3.171, loss_regu = 0.001
2022-09-30 09:17:41.054822 Step 9/27: loss = 3.120, loss_main = 3.119, loss_regu = 0.001
2022-09-30 09:17:41.242002 Step 10/27: loss = 3.105, loss_main = 3.104, loss_regu = 0.001
2022-09-30 09:17:41.435996 Step 11/27: loss = 3.105, loss_main = 3.104, loss_regu = 0.001
2022-09-30 09:17:41.662484 Step 12/27: loss = 3.120, loss_main = 3.119, loss_regu = 0.001
2022-09-30 09:17:41.871702 Step 13/27: loss = 3.143, loss_main = 3.142, loss_regu = 0.001
2022-09-30 09:17:42.054739 Step 14/27: loss = 3.132, loss_main = 3.131, loss_regu = 0.001
2022-09-30 09:17:42.221147 Step 15/27: loss = 3.100, loss_main = 3.099, loss_regu = 0.001
2022-09-30 09:17:42.400219 Step 16/27: loss = 3.121, loss_main = 3.120, loss_regu = 0.001
2022-09-30 09:17:42.577445 Step 17/27: loss = 3.146, loss_main = 3.145, loss_regu = 0.001
2022-09-30 09:17:42.762613 Step 18/27: loss = 3.132, loss_main = 3.131, loss_regu = 0.001
2022-09-30 09:17:42.957378 Step 19/27: loss = 3.100, loss_main = 3.099, loss_regu = 0.001
2022-09-30 09:17:43.145609 Step 20/27: loss = 3.128, loss_main = 3.127, loss_regu = 0.001
2022-09-30 09:17:43.318992 Step 21/27: loss = 3.140, loss_main = 3.139, loss_regu = 0.001
2022-09-30 09:17:43.494046 Step 22/27: loss = 3.134, loss_main = 3.133, loss_regu = 0.001
2022-09-30 09:17:43.687802 Step 23/27: loss = 3.158, loss_main = 3.157, loss_regu = 0.001
2022-09-30 09:17:43.890654 Step 24/27: loss = 3.130, loss_main = 3.129, loss_regu = 0.001
2022-09-30 09:17:44.092583 Step 25/27: loss = 3.102, loss_main = 3.101, loss_regu = 0.001
2022-09-30 09:17:44.306872 Step 26/27: loss = 3.177, loss_main = 3.176, loss_regu = 0.001
